time,gFx,gFy,gFz,TgF
0.641334807,-0.1783,1.0126,0.3327,1.081
0.64386623,-0.1808,1.0122,0.3389,1.083
0.64525523,-0.1840,1.0092,0.3428,1.082
0.647795653,-0.1879,1.0058,0.3450,1.080
0.649940691,-0.1928,1.0031,0.3459,1.078
0.651937499,-0.1976,0.9999,0.3469,1.077
0.654037538,-0.2016,0.9953,0.3479,1.073
0.656254999,-0.2050,0.9912,0.3486,1.070
0.657339999,-0.2089,0.9875,0.3484,1.068
0.65998773,-0.2118,0.9836,0.3469,1.064
0.665646499,-0.2138,0.9792,0.3464,1.060
0.666592768,-0.2155,0.9760,0.3454,1.058
0.667235384,-0.2165,0.9733,0.3425,1.054
0.667632961,-0.2169,0.9699,0.3389,1.050
0.669216038,-0.2157,0.9670,0.3367,1.046
0.672109807,-0.2140,0.9633,0.3337,1.042
0.673613345,-0.2121,0.9599,0.3301,1.037
0.675585461,-0.2089,0.9574,0.3259,1.033
0.678257653,-0.2028,0.9550,0.3178,1.027
0.679665345,-0.1957,0.9530,0.3110,1.021
0.681486922,-0.1884,0.9513,0.3042,1.016
0.684020076,-0.1805,0.9504,0.2983,1.012
0.686218922,-0.1737,0.9489,0.2922,1.008
0.688094038,-0.1659,0.9469,0.2858,1.003
0.690142153,-0.1588,0.9450,0.2800,0.998
0.692278268,-0.1522,0.9430,0.2746,0.994
0.695049653,-0.1461,0.9428,0.2695,0.991
0.695977153,-0.1415,0.9425,0.2643,0.989
0.698212884,-0.1380,0.9416,0.2590,0.986
0.700292384,-0.1361,0.9420,0.2536,0.985
0.702130038,-0.1351,0.9430,0.2492,0.985
0.704313422,-0.1356,0.9445,0.2450,0.985
0.705972768,-0.1373,0.9457,0.2419,0.986
0.708016576,-0.1400,0.9484,0.2387,0.988
0.711481268,-0.1424,0.9504,0.2358,0.989
0.712915884,-0.1459,0.9513,0.2343,0.991
0.713656999,-0.1507,0.9513,0.2333,0.991
0.715772961,-0.1571,0.9511,0.2323,0.992
0.717337307,-0.1625,0.9511,0.2331,0.993
0.719338884,-0.1678,0.9506,0.2343,0.993
0.721267191,-0.1730,0.9486,0.2355,0.993
0.723255384,-0.1774,0.9462,0.2370,0.991
0.725284537,-0.1827,0.9435,0.2387,0.990
0.727877691,-0.1881,0.9411,0.2394,0.989
0.730194845,-0.1932,0.9398,0.2402,0.989
0.732265691,-0.1984,0.9389,0.2411,0.989
0.733469807,-0.2028,0.9374,0.2436,0.990
0.736199422,-0.2067,0.9374,0.2465,0.991
0.737221499,-0.2106,0.9391,0.2492,0.994
0.739524961,-0.2143,0.9394,0.2504,0.995
0.741680114,-0.2187,0.9391,0.2516,0.997
0.745119307,-0.2231,0.9391,0.2526,0.998
0.745982537,-0.2272,0.9391,0.2531,0.999
0.748088307,-0.2311,0.9381,0.2538,0.999
0.749846345,-0.2333,0.9374,0.2551,0.999
0.751707114,-0.2353,0.9372,0.2580,1.000
0.754362691,-0.2372,0.9369,0.2609,1.001
0.75613673,-0.2387,0.9372,0.2639,1.002
0.757860114,-0.2387,0.9384,0.2675,1.005
0.760344345,-0.2392,0.9403,0.2719,1.008
0.765974691,-0.2411,0.9413,0.2770,1.010
0.767067345,-0.2428,0.9425,0.2824,1.013
0.767491191,-0.2450,0.9447,0.2895,1.018
0.767887461,-0.2477,0.9477,0.2968,1.023
0.769443461,-0.2514,0.9496,0.3042,1.028
0.772545153,-0.2543,0.9499,0.3110,1.031
0.773332884,-0.2568,0.9504,0.3178,1.034
0.776242691,-0.2597,0.9511,0.3232,1.038
0.77954923,-0.2631,0.9511,0.3279,1.040
0.780314537,-0.2668,0.9501,0.3313,1.041
0.782220384,-0.2697,0.9482,0.3342,1.041
0.784354768,-0.2726,0.9452,0.3364,1.040
0.785491461,-0.2746,0.9425,0.3396,1.039
0.78828173,-0.2753,0.9389,0.3442,1.037
0.790335691,-0.2753,0.9345,0.3479,1.034
0.792642768,-0.2761,0.9291,0.3501,1.031
0.793344268,-0.2768,0.9245,0.3520,1.027
0.796088807,-0.2770,0.9210,0.3533,1.025
0.797671807,-0.2775,0.9179,0.3530,1.022
0.799881114,-0.2790,0.9149,0.3518,1.019
0.801862922,-0.2802,0.9127,0.3496,1.017
0.804649614,-0.2814,0.9110,0.3481,1.015
0.805363037,-0.2819,0.9100,0.3467,1.014
0.808345691,-0.2827,0.9091,0.3450,1.013
0.810444537,-0.2836,0.9083,0.3418,1.011
0.812729961,-0.2836,0.9074,0.3396,1.009
0.814118999,-0.2856,0.9076,0.3367,1.009
0.815608076,-0.2885,0.9083,0.3340,1.010
0.817353845,-0.2917,0.9083,0.3327,1.010
0.819587422,-0.2941,0.9081,0.3313,1.010
0.821520653,-0.2963,0.9091,0.3305,1.012
0.823578768,-0.2985,0.9093,0.3296,1.012
0.825486999,-0.3005,0.9088,0.3281,1.012
0.827785653,-0.3029,0.9083,0.3257,1.011
0.829379691,-0.3059,0.9081,0.3240,1.011
0.831545653,-0.3086,0.9076,0.3220,1.011
0.833461845,-0.3105,0.9069,0.3203,1.011
0.835492614,-0.3122,0.9064,0.3196,1.011
0.837433653,-0.3137,0.9056,0.3198,1.010
0.839258076,-0.3147,0.9066,0.3213,1.012
0.841397922,-0.3149,0.9078,0.3222,1.014
0.844729922,-0.3152,0.9081,0.3227,1.014
0.848386114,-0.3169,0.9078,0.3242,1.015
0.84936346,-0.3198,0.9071,0.3252,1.015
0.849991537,-0.3215,0.9074,0.3266,1.017
0.851393922,-0.3225,0.9074,0.3291,1.018
0.85544246,-0.3240,0.9064,0.3318,1.018
0.856043845,-0.3254,0.9047,0.3345,1.018
0.857379037,-0.3254,0.9027,0.3359,1.017
0.863565153,-0.3252,0.9012,0.3376,1.016
0.864331268,-0.3240,0.8986,0.3396,1.014
0.86477696,-0.3232,0.8959,0.3406,1.011
0.865576499,-0.3235,0.8944,0.3425,1.011
0.867573922,-0.3227,0.8934,0.3445,1.010
0.869390922,-0.3210,0.8929,0.3464,1.010
0.87132073,-0.3191,0.8937,0.3469,1.010
0.873325191,-0.3169,0.8934,0.3454,1.009
0.875306614,-0.3154,0.8934,0.3454,1.008
0.87776646,-0.3139,0.8932,0.3457,1.008
0.879589653,-0.3130,0.8932,0.3452,1.007
0.881604499,-0.3120,0.8929,0.3457,1.007
0.883611037,-0.3132,0.8925,0.3454,1.007
0.885674076,-0.3147,0.8922,0.3452,1.007
0.887298384,-0.3161,0.8920,0.3452,1.007
0.889437807,-0.3166,0.8903,0.3452,1.006
0.891452884,-0.3171,0.8885,0.3437,1.004
0.894173653,-0.3171,0.8866,0.3423,1.002
0.89550996,-0.3171,0.8844,0.3411,1.000
0.89745473,-0.3186,0.8822,0.3384,0.997
0.899849653,-0.3203,0.8790,0.3342,0.993
0.901593384,-0.3220,0.8751,0.3296,0.989
0.903467884,-0.3242,0.8722,0.3269,0.986
0.905482691,-0.3274,0.8695,0.3235,0.984
0.907444999,-0.3305,0.8670,0.3198,0.981
0.909368307,-0.3325,0.8646,0.3154,0.979
0.91189573,-0.3345,0.8629,0.3098,0.976
0.913514768,-0.3369,0.8614,0.3044,0.974
0.915600153,-0.3389,0.8614,0.3000,0.973
0.917682422,-0.3413,0.8614,0.2963,0.973
0.92018473,-0.3430,0.8617,0.2932,0.973
0.922150153,-0.3445,0.8614,0.2910,0.972
0.924190114,-0.3474,0.8617,0.2885,0.973
0.92618296,-0.3511,0.8619,0.2868,0.974
0.928933499,-0.3550,0.8624,0.2846,0.975
0.929885268,-0.3574,0.8629,0.2822,0.976
0.932534768,-0.3611,0.8641,0.2800,0.977
0.934318691,-0.3640,0.8648,0.2773,0.978
0.936560345,-0.3652,0.8648,0.2756,0.978
0.937691576,-0.3660,0.8648,0.2751,0.979
0.940637576,-0.3665,0.8656,0.2748,0.979
